DIRETOR,ANO_MAIS_RECENTE,N_FILMES,PRESTIGIO_FESTIV,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
EDUARDO ROBERTO DE SOUZA,2011,1,,7.0,1.0,1.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | História (São Paulo) | Revista FAMECOS
BRUNO DA SILVA PEREIRA,2024,4,,3.0,1.0,1.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Lume (Universidade Federal do Rio Grande do Sul) | Gragoatá
EDUARDO CUNHA SOUZA,2025,6,,7.0,1.0,1.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | História (São Paulo) | Revista FAMECOS
ALDEMAR FREITAS MATIAS JUNIOR,2024,6,,6.0,1.0,1.0,Revista Observatório | Pontos de Interrogação | Cordis Revista Eletrônica de História Social da Cidade
ARTHUR PERIN MOTTA,2025,4,,1.0,1.0,1.0,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information)
ARTHUR PEREIRA SILVA,2024,2,,1.0,1.0,1.0,GIS - Gesto Imagem e Som - Revista de Antropologia
DORA CANETTI JOBIM,2025,12,,5.0,1.0,1.0,Imagofagia: revista de la Asociación Argentina de Estudios de Cine y Audiovisual | Alphaville Journal of Film and Screen Media | Sessões do Imaginário
EDUARDO FERREIRA DE SOUZA,2016,3,,7.0,1.0,1.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | História (São Paulo) | Revista FAMECOS
DANIEL LIEFF,2020,6,,2.0,1.0,1.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
DANIEL EDUARDO DE SOUZA,2022,1,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
DANIEL DOURADO NOLASCO,2020,1,,4.0,0.0,0.0,Aniki Revista Portuguesa da Imagem em Movimento | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Dispositiva
FELLIPE GAMARANO BARBOSA,2025,13,Rotterdam,4.0,0.0,0.0,Brasiliana- Journal for Brazilian Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
DENOY OLIVEIRA,2005,1,,1.0,0.0,0.0,Institutional Repository of the Federal University of Sergipe (Universidade Federal de Sergipe)
DANIEL FAGUNDES SOUZA,2021,2,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
DIEGO DA COSTA,2024,6,,1.0,0.0,0.0,The Institutional Repository at DePaul University (DePaul University)
DIEGO BARALDI DE LIMA,2024,3,,1.0,0.0,0.0,
DANIEL DRUMOND RIBEIRO,2025,1,Oscar,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
DANIEL FERRETTI DE SOUZA,2015,1,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
DIANA XAVIER COELHO,2019,4,,5.0,0.0,0.0,Temática | BDTD (Federal University of Rio Grande do Norte) | Editora Científica Digital eBooks
DANIEL JOSE RIBEIRO BILLIO,2024,22,,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
FELIPE CALDAS DE MELLO SABUGOSA,2021,1,,1.0,0.0,0.0,Anagrama
DANIEL MENDONCA RIBEIRO FAVARETTO,2025,6,,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
DENOY GONCALVES DE OLIVEIRA,2023,2,,1.0,0.0,0.0,Institutional Repository of the Federal University of Sergipe (Universidade Federal de Sergipe)
FELIPE SIENA TOMAZELLI,2025,7,,1.0,0.0,0.0,SPIRE - Sciences Po Institutional REpository
DANIEL TUPINAMBA MARCONDES GODOY DE OLIVEIRA PINTO,2023,8,,1.0,0.0,0.0,
DANIELA GONTIJO ALVES PINTO,2024,11,,1.0,0.0,0.0,Revista Scientiarum Historia
DANIELA KALLMANN,2018,4,,2.0,0.0,0.0,Intexto | Revista FAMECOS
DANIEL TENDLER,2016,4,,1.0,0.0,0.0,Editora Científica Digital eBooks
FELIPE PITOMBO FERREIRA,2025,2,,2.0,0.0,0.0,REVISTA ELETRÔNICA EXTENSÃO EM DEBATE | Revista Concinnitas
FELIPE OLIVEIRA MARTINS,2017,1,,4.0,0.0,0.0,"LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Intexto | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)"
FELIPE MOURA BRAGANCA,2024,16,,1.0,0.0,0.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
FELIPE MENDES FERREIRA,2017,1,,2.0,0.0,0.0,REVISTA ELETRÔNICA EXTENSÃO EM DEBATE | Revista Concinnitas
FELIPE SHOLL MACHADO,2024,5,,2.0,0.0,0.0,Revista Histórias Públicas | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
FELIPE MARTINS FERREIRA GROSSO,2025,10,,2.0,0.0,0.0,REVISTA ELETRÔNICA EXTENSÃO EM DEBATE | Revista Concinnitas
DANIEL SAMPAIO AUGUSTO,2024,23,,8.0,0.0,0.0,Digital Library of Theses and Dissertations  (Universidade de São Paulo) | Aniki Revista Portuguesa da Imagem em Movimento | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
FELIPE VIEIRA MACHADO,2020,1,,2.0,0.0,0.0,Revista Histórias Públicas | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
FELIPE JOFFILY,2025,31,,7.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Reciis | Revista FAMECOS
DENIS KAMIOKA,2022,9,,1.0,0.0,0.0,
DENISE NUNES SARACENI,2021,31,,8.0,0.0,0.0,VIII Congreso Internacional Orbis Tertius de Teoría y Crítica Literaria | El Servicio de Difusión de la Creación Intelectual (National University of La Plata) | Escritas do Tempo
DANIEL SABINO DE SOUZA,2009,1,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
DANIEL PEIXOTO RIBEIRO,2015,1,,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
FELIPE HERZOG FERREIRA,2025,8,,2.0,0.0,0.0,REVISTA ELETRÔNICA EXTENSÃO EM DEBATE | Revista Concinnitas
DANIEL NOLASCO DE SOUZA,2025,14,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
DANIELA BROITMAN,2020,4,,2.0,0.0,0.0,Revista FAMECOS | AVANCA | CINEMA
FELIPE FERNANDES BRAGA,2019,5,,5.0,0.0,0.0,Revista de Ensino em Artes Moda e Design | Lume (Universidade Federal do Rio Grande do Sul) | Comunicação & Inovação
DENOY DE OLIVEIRA,2005,4,,1.0,0.0,0.0,Institutional Repository of the Federal University of Sergipe (Universidade Federal de Sergipe)
EDUARDO DORNELES ROSA,2016,3,,1.0,0.0,0.0,Cadernos Pagu
FABIO ALLON DOS SANTOS,2024,23,,1.0,0.0,0.0,Revista Periódicus
DIEGO DE JESUS SANTOS,2018,3,,2.0,0.0,0.0,Tercio Creciente | CEUB (University Center of Brasília)
DIEGO EUGENIO DOS SANTOS,2024,2,,2.0,0.0,0.0,Tercio Creciente | CEUB (University Center of Brasília)
ELIANE DIAS CAFFE ALVES,2024,14,,2.0,0.0,0.0,AVANCA | CINEMA
ELIANE COSTER,2018,6,,3.0,0.0,0.0,Mórula Editorial eBooks | Culture and Local Governance
DIVINO TSEREWAHU TSEREPTSE,2017,4,,1.0,0.0,0.0,Revista Univap
EDUARDO VAISMAN,2025,22,,1.0,0.0,0.0,ILUMINURAS
EDUARDO RAJABALLY,2025,36,,1.0,0.0,0.0,
DUFLAIR MAGRI BARRADAS,2024,3,,1.0,0.0,0.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
EDER JOSE DOS SANTOS JUNIOR,2024,18,,7.0,0.0,0.0,Significação Revista de Cultura Audiovisual | Diálogo com a Economia Criativa | Ícone
EDUARDO LIMA DE CASTRO NUNES,2024,12,,2.0,0.0,0.0,Alphaville Journal of Film and Screen Media | Jagiellonian University Repository (Jagiellonian University)
EDER RODRIGUES DOS SANTOS,2022,1,,7.0,0.0,0.0,Significação Revista de Cultura Audiovisual | Diálogo com a Economia Criativa | Ícone
EDUARDO LEONEL ALBERGARIA,2025,19,,3.0,0.0,0.0,Brasiliana- Journal for Brazilian Studies | Convergências estudos em Humanidades Digitais
EDER SANTOS,2006,1,,7.0,0.0,0.0,Significação Revista de Cultura Audiovisual | Diálogo com a Economia Criativa | Ícone
EDUARDO JOSE DE CASTRO PERDIGAO,2020,1,,2.0,0.0,0.0,Alphaville Journal of Film and Screen Media | Jagiellonian University Repository (Jagiellonian University)
EDUARDO HUNTER PINTO DE MOURA,2024,11,,16.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Significação Revista de Cultura Audiovisual
EDUARDO GUEDES NAZARIAN,2014,1,,2.0,0.0,0.0,DOC online - Revista Digital de Cinema Documentário
EDUARDO GOLDENSTEIN,2024,13,,2.0,0.0,0.0,SHILAP Revista de lepidopterología
EDISON ARAUJO RODRIGUES JUNIOR,2025,4,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
EDSON JOSE BASTOS DE OLIVEIRA JUNIOR,2021,19,,1.0,0.0,0.0,AVANCA | CINEMA
EDUARDO AGUILLAR MATTOS,2021,3,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
EDUARDO ATALIBA BENAIM DE TOLEDO PIZA E ALMEIDA,2022,5,,4.0,0.0,0.0,Dialnet (Universidad de la Rioja) | SHILAP Revista de lepidopterología | Revista Tempos e Espaços em Educação
EDUARDO BARROS PINTO,2018,2,,16.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Significação Revista de Cultura Audiovisual
EDUARDO BRANDAO PINTO,2017,1,,16.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Significação Revista de Cultura Audiovisual
DANIEL DE SOUZA RIBEIRO DA SILVA,2014,3,,7.0,0.0,0.0,LÍBERO. ISSN impresso: 1517-3283 / ISSN online: 2525-3166 | Palgrave studies in adaptation and visual culture | Scientific Repository of Open Access of Portugal (RCAAP)
EDUARDO FELIPE CASTRO REIS,2019,1,,2.0,0.0,0.0,Alphaville Journal of Film and Screen Media | Jagiellonian University Repository (Jagiellonian University)
ELIEZER LEITE ROLIM FILHO,2018,2,,1.0,0.0,0.0,
ELIFAS VICENTE ANDREATO,2020,2,,1.0,0.0,0.0,
ELISABETE ALVES RODRIGUES,2025,22,,2.0,0.0,0.0,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)"
FABIANA DE OLIVEIRA ASSIS,2019,2,,2.0,0.0,0.0,Intercom Revista Brasileira de Ciências da Comunicação
FABRIZIA GONTIJO ALVES PINTO,2022,6,,2.0,0.0,0.0,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)"
FABRICIO PIRES BITTAR DE CARVALHO,2024,25,,1.0,0.0,0.0,
FABIO SAMPAIO CORREA,2013,2,,1.0,0.0,0.0,Repositorio Institucional POLIJIC
DIEGO HENRIQUE DANTAS FREITAS,2026,31,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
FABIO NOGUEIRA SANTOS,2016,1,,1.0,0.0,0.0,Revista Periódicus
DIEGO LEITE LIMA,2018,2,,1.0,0.0,0.0,
FABIO JOSE DE MELO,2024,10,,1.0,0.0,0.0,Escritas/Revista Escritas
FABIO EDUARDO BALDO,2020,6,,1.0,0.0,0.0,Pontos de Interrogação
FABIO AUGUSTO DOS SANTOS JUNIOR,2018,1,,1.0,0.0,0.0,Revista Periódicus
FABIANO GRENDENE DE SOUZA,2019,18,,4.0,0.0,0.0,Digital Library of Theses and Dissertations  (Universidade de São Paulo)
FABIANA DE LIMA LEITE,2025,5,,1.0,0.0,0.0,Sitientibus
ELISANDRO DALCIN,2016,2,,1.0,0.0,0.0,O Mosaico
EVALDO SERGIO VINAGRE MOCARZEL,2025,44,,1.0,0.0,0.0,Revista Brasileira de Estudos da Presença
EVA FURNARI,2016,5,,1.0,0.0,0.0,
ERNESTO PEIXOTO BALDAN,2016,1,,1.0,0.0,0.0,DOC online - Revista Digital de Cinema Documentário
DIEGO ROCHA SANTOS,2024,3,,2.0,0.0,0.0,Tercio Creciente | CEUB (University Center of Brasília)
ERNESTO CARNEIRO RODRIGUES,2020,17,,2.0,0.0,0.0,Carnets | Directory of Open access Books (OAPEN Foundation)
ERLAN MORAES DE SOUZA,2022,3,,1.0,0.0,0.0,
ERIK LUIS DE CASTRO OLIVEIRA,2024,8,,2.0,0.0,0.0,Americanae (AECID Library) | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
EMILIANO FISCHER CUNHA,2020,9,,2.0,0.0,0.0,Lume (Universidade Federal do Rio Grande do Sul)
ELIZEU EWALD,2005,4,,1.0,0.0,0.0,AVANCA | CINEMA
ELIZEU ANTONIO EWALD REZENDE,2005,4,,1.0,0.0,0.0,AVANCA | CINEMA
DANIEL DOS SANTOS SOUZA,2018,1,,1.0,0.0,0.0,Revista Brasileira de Sociologia do Direito
ADALBERTO PENNA,2015,7,,2.0,0.0,0.0,Revista FAMECOS
DANIEL CAMARGO KFOURI,2024,3,,2.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | UNESP Institutional Repository (São Paulo State University)
ANGELO ARENASIO DEFANTI BARBOSA,2023,15,,3.0,0.0,0.0,"Cidades, comunidades e território/Cidades comunidades e territórios | Revista Trabalho Necessário | Simbiótica Revista Eletrônica"
ANTONIO CORTEZ NETO,2025,3,,1.0,0.0,0.0,
ANTONIO BORGES NETO,2024,8,,1.0,0.0,0.0,
ANNA MARIA DE AZEVEDO,2025,22,,2.0,0.0,0.0,PerCursos | Revista FAMECOS
ANNA CARL LUCCHESE,2015,1,,1.0,0.0,0.0,Significação Revista de Cultura Audiovisual
ANITA DE SOUZA ROCHA MAGALHAES DA SILVEIRA,2022,5,,15.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Film Quarterly | La Cifra Impar Revista de estudios de audiovisuales
ANITA BEATRIZ BARBOSA DE SOUZA,2024,4,,2.0,0.0,0.0,Intexto | Lumina
ANGELA MARIA ALONSO,2022,2,,3.0,0.0,0.0,Revista Coletivo Cine-Fórum
ANTONIO JOSE NETO,2012,1,,1.0,0.0,0.0,
ANDRES WOOD,2021,1,Oscar/Sundance,7.0,0.0,0.0,Dialnet (Universidad de la Rioja) | Conexión | Anos 90
ANDREA VIANA PRATES,2021,3,,1.0,0.0,0.0,transcript Verlag eBooks
ANDREA DE ARRUDA FERRAZ,2025,15,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ANDRE KLOTZEL,2025,9,,3.0,0.0,0.0,História & Ensino
ANDERSON SILVA,2014,1,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
ANDERSON PEREIRA DA SILVA,2021,1,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
ANTONIO FERREIRA NETO,2025,3,,1.0,0.0,0.0,
ANTONIO LINHARES DA CUNHA FILHO,2020,3,,1.0,0.0,0.0,
ANDERSON JESUS DA SILVA,2022,10,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
ATHOS ALEXSANDRO MUNIZ DE FARIAS,2026,11,,1.0,0.0,0.0,Temática
BETSE PALMEIRA DE PAULA,2023,21,,1.0,0.0,0.0,AVANCA | CINEMA
BERTRAND DE SOUZA LIRA,2019,5,,5.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Dialnet (Universidad de la Rioja)
BENJAMIN NAISHTAT,2023,2,,1.0,0.0,0.0,Latinskaia Amerika
BENEDITO FERREIRA DOS SANTOS NETO,2020,3,,3.0,0.0,0.0,Revista Memória em Rede
BEATRIZ MORGANA VIANNA,2022,1,,2.0,0.0,0.0,"Múltiplos Olhares em Ciência da Informação | Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)"
AUGUSTO CESAR CORREA SEVA,2018,5,,1.0,0.0,0.0,Muiraquitã - Revista de Letras e Humanidades
ARTUR HENRIQUE DA COSTA PINTO,2022,2,,4.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Imprensa da Universidade de Coimbra eBooks | Lume (Universidade Federal do Rio Grande do Sul)
ANTONIO VENTURI NETO,2025,27,,1.0,0.0,0.0,
ARTHUR MEDEIROS NUNES,2013,1,,2.0,0.0,0.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Lume (Universidade Federal do Rio Grande do Sul)
ARTHUR FERNANDES ANDRADE LINS,2025,5,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ARTHUR COUCE NUNES,2023,1,,2.0,0.0,0.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Lume (Universidade Federal do Rio Grande do Sul)
ARMANDO BARROSO MENDES FILHO,2022,11,,1.0,0.0,0.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ARIANE DOS SANTOS PEREIRA,2021,2,,2.0,0.0,0.0,Comunicação & Inovação
ANTONIO VICENTINI DA CUNHA,2016,2,,1.0,0.0,0.0,
ANDERSON LUIZ SILVA DO NASCIMENTO,2017,2,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
ANDERSON FILIPE DA SILVA OLIVEIRA,2025,1,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
DANDARA DA COSTA FERREIRA,2023,2,,1.0,0.0,0.0,Brasiliana- Journal for Brazilian Studies
ALESSANDRO CARVALHO SILVA,2013,1,,1.0,0.0,0.0,Anais Congresso Brasileiro de Energia Solar
ALEXANDRE PINTO CARVALHO BRAGA,2018,7,,3.0,0.0,0.0,Paralelo 31 | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Latitude
ALEXANDRE OLIVEIRA DE CARVALHO,2023,1,,3.0,0.0,0.0,Paralelo 31 | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Latitude
ALEXANDRE FELIX DE CARVALHO,2016,3,,3.0,0.0,0.0,Paralelo 31 | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Latitude
ALEXANDRE DA SILVA CARVALHO,2025,8,,3.0,0.0,0.0,Paralelo 31 | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Latitude
ALEXANDRE BOECHAT,2018,3,,1.0,0.0,0.0,
ALEX PIPERNO,2020,1,,1.0,0.0,0.0,Dixit
ALESSANDRO BARROS DA SILVA,2019,2,,1.0,0.0,0.0,Anais Congresso Brasileiro de Energia Solar
ALEXANDRE WAHRHAFTIG,2022,5,,2.0,0.0,0.0,ARS (São Paulo) | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
ALESSANDRA DORGAN,2024,6,,1.0,0.0,0.0,Repositori Obert de Coneixement de lAjuntament de Barcelona
ALBERTO RONDALLI,2017,2,,1.0,0.0,0.0,SHILAP Revista de lepidopterología
AIRTON CORREA SOARES JUNIOR,2019,5,,1.0,0.0,0.0,
AFONSO JOSE DA SILVA POYART,2021,14,,2.0,0.0,0.0,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT) | Faces de Clio"
ADRIANA CECHETTI PINTO,2016,4,,1.0,0.0,0.0,Logos
ADRIANA ARAUJO BORGES,2018,14,,2.0,0.0,0.0,Zenodo (CERN European Organization for Nuclear Research)
ALEXANDRE PIRES CAVALCANTI,2024,4,,1.0,0.0,0.0,
ALICE DE ANDRADE,2020,5,,4.0,0.0,0.0,Profanações | Significação Revista de Cultura Audiovisual
ANDERSON FERREIRA DA SILVA,2020,4,,3.0,0.0,0.0,UNESP Institutional Repository (São Paulo State University) | PUCRS Repository (Pontifical Catholic University of Rio Grande do Sul)
